col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24,col25,col26,col27,x,y,z,target
'012','012','012','012','0','012','012','012','012','012','012','012','012','012','012','012','012','012','012','012','012','012','012','012','012','012','012',1,0,1,0
'0','0','012','0','0','012','012','012','012','012','012','012','012','012','012','012','012','012','012','012','012','012','012','012','012','012','012',0,0,0,0
'0','0','012','0','0','012','012','012','012','012','012','012','012','012','012','012','012','012','012','012','012','012','012','012','012','012','012',1,0,0,0
'0','0','012','0','0','012','012','012','012','012','012','012','012','012','012','012','012','012','012','012','012','012','012','012','012','012','012',0,0,1,0
'0','0','012','0','0','012','012','1','012','012','012','012','012','012','012','012','012','012','012','012','012','012','012','012','012','012','012',2,0,1,1
'0','0','012','0','0','012','012','1','1','012','012','012','012','012','012','012','012','012','012','012','012','012','012','012','012','012','012',2,0,2,1
'0','0','012','0','0','012','0','1','1','012','012','012','012','012','012','012','012','012','012','012','012','012','012','012','012','012','012',2,0,0,0
'0','0','0','0','0','012','0','1','1','012','012','012','012','012','012','012','012','012','012','012','012','012','012','012','012','012','012',0,0,2,0
'0','0','0','0','0','0','0','1','1','012','012','012','012','012','012','012','012','012','012','012','012','012','012','012','012','012','012',1,0,2,0
'0','0','0','0','0','0','0','1','1','012','012','012','012','0','012','012','012','012','012','012','012','012','012','012','012','012','012',1,1,1,0
'0','0','0','0','0','0','0','1','1','0','0','012','0','0','012','012','012','012','012','012','012','012','012','012','012','012','012',0,1,0,0
'0','0','0','0','0','0','0','1','1','0','0','012','0','0','012','012','012','012','012','012','012','012','012','012','012','012','012',1,1,0,0
'0','0','0','0','0','0','0','1','1','0','0','012','0','0','012','012','012','012','012','012','012','012','012','012','012','012','012',0,1,1,0
'0','0','0','0','0','0','0','1','1','0','0','012','0','0','012','012','0','012','012','012','012','012','012','012','012','012','012',2,1,1,0
'0','0','0','0','0','0','0','1','1','0','0','012','0','0','012','0','0','012','012','012','012','012','012','012','012','012','012',2,1,0,0
'0','0','0','0','0','0','0','1','1','0','0','1','0','0','012','0','0','012','012','012','012','012','012','012','012','012','012',0,1,2,1
'0','0','0','0','0','0','0','1','1','0','0','1','0','0','1','0','0','012','012','012','012','012','012','012','012','012','012',1,1,2,1
'0','0','0','0','0','0','0','1','1','0','0','1','0','0','1','0','0','2','012','012','012','012','012','012','012','012','012',2,1,2,2
'0','0','0','0','0','0','0','1','1','0','0','1','0','0','1','0','0','2','012','012','012','012','1','012','012','012','012',1,2,1,1
'0','0','0','0','0','0','0','1','1','0','0','1','0','0','1','0','0','2','012','012','012','012','1','1','012','1','012',2,2,1,1
'0','0','0','0','0','0','0','1','1','0','0','1','0','0','1','0','0','2','012','012','012','012','1','1','012','1','012',1,2,2,1
'0','0','0','0','0','0','0','1','1','0','0','1','0','0','1','0','0','2','012','012','012','012','1','1','012','1','2',2,2,2,2
'0','0','0','0','0','0','0','1','1','0','0','1','0','0','1','0','0','2','012','0','012','012','1','1','012','1','2',0,2,1,0
'0','0','0','0','0','0','0','1','1','0','0','1','0','0','1','0','0','2','0','0','012','012','1','1','02','1','2',0,2,0,0
'0','0','0','0','0','0','0','1','1','0','0','1','0','0','1','0','0','2','0','0','2','012','1','1','02','1','2',0,2,2,2
'0','0','0','0','0','0','0','1','1','0','0','1','0','0','1','0','0','2','0','0','2','012','1','1','0','1','2',2,2,0,0
'0','0','0','0','0','0','0','1','1','0','0','1','0','0','1','0','0','2','0','0','2','0','1','1','0','1','2',1,2,0,0
